Date,Close,Open,High,Low
2022-02-21,33.85,33.9,34.4,33.55
2022-02-18,33.85,34.1,34.25,33.7
2022-02-17,34.3,34.15,34.45,34.1
2022-02-16,34.2,34.7,34.7,34.0
2022-02-15,34.5,34.05,34.5,34.0
2022-02-14,34.0,35.4,35.6,34.0
2022-02-11,35.7,35.3,36.35,35.25
2022-02-10,35.55,35.6,35.8,35.35
2022-02-09,35.6,35.9,35.95,35.5
2022-02-08,35.75,34.7,36.0,34.7
2022-02-07,34.7,35.0,35.15,34.65
2022-01-28,34.55,34.9,35.0,34.4
2022-01-27,34.9,35.4,35.4,34.55
2022-01-26,35.45,35.0,35.95,35.0
2022-01-25,34.85,34.35,35.05,34.35
2022-01-24,34.35,33.5,34.9,33.5
2022-01-21,33.45,32.95,34.0,32.9
2022-01-20,32.95,33.0,33.15,32.7
2022-01-19,33.0,32.8,33.3,32.8
2022-01-18,32.8,32.75,33.05,32.3
2022-01-17,32.75,33.1,33.65,32.75
2022-01-14,33.05,33.35,33.45,33.0
2022-01-13,33.35,33.65,34.25,33.15
2022-01-12,33.1,32.7,33.55,32.55
2022-01-11,32.75,33.0,33.05,32.7
2022-01-10,33.0,33.0,33.4,32.95
2022-01-07,33.3,33.9,33.95,33.3
2022-01-06,33.75,33.5,34.0,33.1
2022-01-05,33.7,34.35,34.35,33.65
2022-01-04,34.4,34.8,34.8,34.25
2021-12-31,34.5,34.0,34.55,34.0
2021-12-30,33.9,33.7,34.0,33.5
2021-12-29,33.8,33.85,34.2,33.7
2021-12-28,33.65,33.15,33.75,33.05
2021-12-27,33.15,33.3,33.3,32.9
2021-12-24,33.0,32.5,33.15,32.2
2021-12-23,32.5,32.6,32.65,32.0
2021-12-22,32.7,32.65,32.95,32.65
2021-12-21,32.8,32.95,32.95,32.8
2021-12-20,33.1,33.2,33.3,32.85
2021-12-17,33.2,33.15,33.3,33.05
2021-12-16,33.0,33.5,33.55,33.0
2021-12-15,33.4,33.1,33.55,33.05
2021-12-14,33.3,33.3,33.5,33.1
2021-12-13,33.4,33.55,33.8,33.3
2021-12-10,33.4,33.2,33.6,33.1
2021-12-09,33.3,33.0,33.3,32.8
2021-12-08,33.1,32.65,33.4,32.55
2021-12-07,32.95,32.5,32.95,32.1
2021-12-06,32.3,32.3,32.8,31.65
2021-12-03,32.55,33.4,33.55,32.55
2021-12-02,33.2,33.6,33.6,33.2
2021-12-01,33.5,33.1,33.5,33.05
2021-11-30,33.3,34.4,34.5,33.2
2021-11-29,34.15,33.8,34.3,33.8
2021-11-26,34.6,35.15,35.3,34.6
2021-11-25,35.15,35.5,35.55,34.95
2021-11-24,35.35,33.9,35.45,33.75
2021-11-23,33.95,34.25,34.3,33.7
2021-11-22,34.15,33.5,34.8,33.0
2021-11-19,33.45,32.7,33.9,32.55
2021-11-18,32.5,33.5,33.5,32.5
2021-11-17,33.3,33.15,33.5,32.8
2021-11-16,33.15,33.35,33.4,32.8
2021-11-15,33.4,33.4,33.6,33.25
2021-11-12,33.35,33.0,33.35,32.65
2021-11-11,33.0,33.3,33.55,32.5
2021-11-10,33.4,33.5,33.55,33.15
2021-11-09,33.45,33.4,33.8,33.35
2021-11-08,33.4,33.5,33.65,33.2
2021-11-05,33.5,33.8,33.8,33.3
2021-11-04,33.5,34.05,34.05,33.45
2021-11-03,33.85,33.3,34.1,33.25
2021-11-02,33.15,32.7,33.15,32.55
2021-11-01,32.7,32.8,32.9,32.4
2021-10-29,33.0,31.85,33.0,31.75
2021-10-28,31.85,31.65,31.85,31.5
2021-10-27,31.4,31.15,31.8,31.15
2021-10-26,31.1,31.25,31.25,30.8
2021-10-25,31.25,31.7,31.7,31.1
2021-10-22,31.6,31.9,31.95,31.45
2021-10-21,31.75,32.3,32.3,31.75
2021-10-20,32.3,32.3,32.65,31.8
2021-10-19,32.3,32.4,32.4,31.9
2021-10-18,32.0,32.35,32.6,32.0
2021-10-15,32.2,32.5,32.55,32.1
2021-10-14,32.3,32.6,32.7,32.2
2021-10-13,32.6,32.6,32.9,32.5
2021-10-12,32.6,32.9,32.9,32.4
2021-10-11,32.6,31.6,32.6,31.6
2021-10-08,31.45,31.4,31.55,31.25
2021-10-07,31.2,31.5,31.5,31.2
2021-10-06,31.35,31.55,31.65,31.1
2021-10-05,31.5,31.0,31.5,31.0
2021-10-04,31.0,31.3,31.4,30.6
2021-10-01,31.5,31.5,31.55,31.1
2021-09-30,31.55,31.35,31.6,31.3
2021-09-29,31.35,31.6,31.7,31.15
2021-09-28,31.6,31.5,31.75,31.4
2021-09-27,31.5,32.2,32.4,31.5
