Date,Close,Open,High,Low
2022-02-21,22.5,22.5,22.5,22.3
2022-02-18,22.5,22.6,22.6,22.3
2022-02-17,22.6,22.6,22.7,22.3
2022-02-16,22.6,22.8,22.8,22.4
2022-02-15,22.8,22.5,22.8,22.1
2022-02-14,22.5,22.8,22.8,22.4
2022-02-11,22.8,23.3,23.3,22.7
2022-02-10,23.2,23.2,23.4,23.2
2022-02-09,23.2,23.1,23.4,23.0
2022-02-08,23.1,22.9,23.1,22.8
2022-02-07,22.9,22.5,23.2,22.5
2022-01-28,22.5,22.4,22.5,22.3
2022-01-27,22.4,23.0,23.1,22.4
2022-01-26,23.0,22.4,23.2,22.4
2022-01-25,22.4,22.4,22.4,22.1
2022-01-24,22.4,22.1,22.6,22.1
2022-01-21,22.1,22.0,22.5,22.0
2022-01-20,22.0,22.0,22.1,21.8
2022-01-19,22.0,22.0,22.5,21.8
2022-01-18,22.0,22.5,22.8,21.8
2022-01-17,22.5,22.9,23.0,22.2
2022-01-14,22.9,23.2,23.2,22.7
2022-01-13,23.2,22.5,23.5,22.5
2022-01-12,22.5,22.5,22.5,22.0
2022-01-11,22.5,22.0,22.5,22.0
2022-01-10,22.0,22.3,22.4,22.0
2022-01-07,22.3,22.7,22.7,22.3
2022-01-06,22.7,22.8,22.8,22.5
2022-01-05,22.8,23.0,23.0,22.7
2022-01-04,22.8,22.6,22.9,22.6
2021-12-31,22.6,22.0,22.8,22.0
2021-12-30,22.3,22.5,22.5,22.2
2021-12-29,22.5,22.6,22.6,22.2
2021-12-28,22.6,22.6,22.8,22.4
2021-12-27,22.7,22.6,22.7,22.5
2021-12-24,22.6,21.9,22.6,21.7
2021-12-23,21.9,21.9,22.0,21.5
2021-12-22,21.9,22.0,22.2,21.7
2021-12-21,22.0,22.1,22.2,21.8
2021-12-20,22.0,22.3,22.3,22.0
2021-12-17,22.4,22.4,22.4,22.2
2021-12-16,22.4,22.6,22.6,22.3
2021-12-15,22.6,22.5,22.7,22.3
2021-12-14,22.5,22.6,22.6,22.3
2021-12-13,22.6,22.7,22.9,22.5
2021-12-10,22.7,22.8,22.9,22.5
2021-12-09,22.8,22.9,22.9,22.7
2021-12-08,22.9,23.0,23.1,22.2
2021-12-07,23.0,22.5,23.0,22.2
2021-12-06,22.5,23.3,23.4,22.1
2021-12-03,23.4,23.8,24.0,23.4
2021-12-02,23.8,23.3,23.8,23.3
2021-12-01,23.2,23.3,23.6,23.1
2021-11-30,23.3,24.0,24.1,23.2
2021-11-29,24.0,24.4,24.4,23.3
2021-11-26,24.8,25.0,25.0,24.4
2021-11-25,25.0,25.3,25.4,24.7
2021-11-24,25.3,24.5,25.3,23.9
2021-11-23,24.5,25.1,25.2,23.5
2021-11-22,25.1,23.5,25.2,23.4
2021-11-19,23.4,22.4,23.7,22.4
2021-11-18,22.4,22.6,22.6,22.3
2021-11-17,22.6,22.6,22.7,22.5
2021-11-16,22.6,22.7,22.8,22.5
2021-11-15,22.7,22.6,22.8,22.6
2021-11-12,22.6,22.4,22.6,22.2
2021-11-11,22.4,22.5,22.7,22.1
2021-11-10,22.5,22.7,22.8,22.5
2021-11-09,22.7,22.9,22.9,22.6
2021-11-08,22.9,22.9,23.0,22.6
2021-11-05,22.9,22.8,23.0,22.5
2021-11-04,22.8,22.7,23.0,22.7
2021-11-03,22.7,22.2,22.8,22.2
2021-11-02,22.2,22.1,22.3,22.1
2021-11-01,22.1,21.9,22.2,21.8
2021-10-29,21.8,21.7,21.9,21.7
2021-10-28,21.6,21.6,21.8,21.5
2021-10-27,21.5,21.6,21.6,21.4
2021-10-26,21.6,21.5,21.7,21.4
2021-10-25,21.5,21.6,21.8,21.5
2021-10-22,21.6,21.7,21.7,21.5
2021-10-21,21.7,21.5,21.7,21.4
2021-10-20,21.6,21.7,22.0,21.6
2021-10-19,21.7,21.9,22.0,21.7
2021-10-18,21.9,22.0,22.1,21.8
2021-10-15,22.0,22.2,22.2,21.9
2021-10-14,22.2,22.3,22.4,22.0
2021-10-13,22.3,22.4,22.5,22.1
2021-10-12,22.4,22.2,22.5,22.2
2021-10-11,22.2,22.0,22.3,21.9
2021-10-08,22.0,21.8,22.0,21.8
2021-10-07,22.0,22.1,22.1,21.9
2021-10-06,22.1,22.1,22.3,22.0
2021-10-05,22.1,21.6,22.2,21.4
2021-10-04,21.5,21.8,22.0,21.5
2021-10-01,21.8,22.0,22.2,21.8
2021-09-30,22.0,21.9,22.3,21.8
2021-09-29,21.9,22.5,22.6,21.9
2021-09-28,22.5,22.5,22.6,22.2
2021-09-27,22.5,22.9,23.1,22.5
