Date,Close,Open,High,Low
2022-02-18,35.95,36.1,36.2,35.7
2022-02-17,36.1,35.6,36.5,35.05
2022-02-16,35.8,37.8,37.8,35.8
2022-02-15,37.25,36.55,37.5,36.55
2022-02-14,36.55,35.8,36.8,35.55
2022-02-11,35.8,34.85,35.8,34.8
2022-02-10,35.0,36.0,36.0,34.9
2022-02-09,34.8,35.6,35.6,34.1
2022-02-08,35.7,35.95,36.4,35.1
2022-02-07,35.95,37.7,37.7,35.0
2022-01-28,37.45,35.5,37.75,34.1
2022-01-27,35.3,35.0,35.35,34.3
2022-01-26,35.25,35.0,35.4,34.5
2022-01-25,34.9,33.8,34.9,33.7
2022-01-24,33.8,33.0,34.1,32.95
2022-01-21,33.4,32.7,33.5,32.0
2022-01-20,32.6,32.35,33.0,31.6
2022-01-19,32.35,32.35,32.85,31.6
2022-01-18,32.35,31.2,32.95,31.2
2022-01-17,32.9,33.8,33.95,32.3
2022-01-14,33.85,33.6,34.2,33.0
2022-01-13,34.2,34.6,35.35,34.2
2022-01-12,33.8,33.15,33.8,32.5
2022-01-11,33.05,32.5,33.9,32.5
2022-01-10,32.7,33.5,33.8,32.05
2022-01-07,33.4,33.7,34.5,33.4
2022-01-06,34.2,34.5,34.5,33.7
2022-01-05,34.3,33.95,34.9,33.65
2022-01-04,33.9,33.5,34.5,33.3
2021-12-31,33.7,34.0,34.6,33.7
2021-12-30,33.8,35.0,35.0,33.7
2021-12-29,34.2,37.5,37.5,34.2
2021-12-28,35.5,35.65,35.65,34.0
2021-12-27,33.35,31.2,33.35,31.2
2021-12-24,31.2,30.85,31.2,29.6
2021-12-23,29.2,27.7,29.2,27.1
2021-12-22,27.3,26.75,27.65,26.7
2021-12-21,26.75,26.75,26.85,26.3
2021-12-20,26.45,26.0,26.6,26.0
2021-12-17,26.0,26.15,26.15,25.75
2021-12-16,26.0,26.5,26.9,26.0
2021-12-15,26.45,26.9,26.9,26.35
2021-12-14,26.8,26.45,27.0,25.9
2021-12-13,26.45,26.8,27.15,26.45
2021-12-10,26.8,26.8,27.4,26.75
2021-12-09,27.1,26.7,27.8,26.7
2021-12-08,26.7,25.95,26.95,25.75
2021-12-07,25.6,25.3,26.0,25.25
2021-12-06,25.2,26.6,27.0,25.15
2021-12-03,27.0,27.35,28.2,27.0
2021-12-02,27.8,27.55,28.5,27.4
2021-12-01,27.35,27.1,28.0,27.1
2021-11-30,27.4,28.4,29.0,26.6
2021-11-29,28.35,28.7,28.95,28.0
2021-11-26,28.8,29.5,29.95,28.7
2021-11-25,29.25,30.15,30.15,29.0
2021-11-24,29.4,27.45,29.4,27.45
2021-11-23,27.5,27.7,27.9,27.0
2021-11-22,27.7,28.85,28.95,27.7
2021-11-19,27.8,27.1,28.15,27.0
