Date,Close,Open,High,Low
2022-02-18,16.65,16.3,16.7,16.25
2022-02-17,16.3,16.5,16.5,16.1
2022-02-16,16.45,16.3,16.65,16.1
2022-02-15,16.3,16.0,16.4,16.0
2022-02-14,16.4,16.1,16.7,15.85
2022-02-11,16.1,16.1,16.3,15.95
2022-02-10,16.1,16.5,16.8,16.0
2022-02-09,16.5,16.4,16.65,16.1
2022-02-08,16.55,17.0,17.0,16.4
2022-02-07,16.5,16.05,16.7,15.9
2022-01-28,15.65,15.6,15.7,15.2
2022-01-27,15.5,15.2,16.4,15.2
2022-01-26,15.4,16.3,16.3,15.4
2022-01-25,15.85,15.9,15.9,15.1
2022-01-24,15.6,16.65,16.65,15.5
2022-01-21,16.65,16.5,16.9,16.25
2022-01-20,16.85,16.1,17.45,16.1
2022-01-19,17.3,16.15,17.3,15.8
2022-01-18,16.2,15.2,16.2,15.0
2022-01-17,16.1,17.3,17.3,16.1
2022-01-14,17.3,16.9,18.0,16.9
2022-01-13,18.1,19.2,19.4,17.75
2022-01-12,19.05,21.0,21.0,18.6
2021-12-29,19.2,19.0,19.5,19.0
2021-12-28,18.9,18.6,19.1,18.5
2021-12-27,18.5,18.7,18.9,18.4
2021-12-24,18.7,18.7,19.1,18.5
2021-12-23,18.7,19.3,19.5,18.4
2021-12-22,19.2,18.7,19.7,18.6
2021-12-21,18.5,18.9,19.0,18.3
2021-12-20,18.9,19.0,19.5,18.7
2021-12-17,19.3,19.1,20.2,19.0
2021-12-16,19.3,19.5,19.5,18.6
2021-12-15,19.4,19.7,19.8,19.2
2021-12-14,19.6,20.2,20.5,19.6
2021-12-13,20.3,19.9,20.5,19.6
2021-12-10,20.1,20.3,20.3,19.7
2021-12-09,20.3,20.5,21.0,20.0
2021-12-08,20.7,18.8,20.7,18.6
2021-12-07,18.6,18.1,18.6,17.7
2021-12-06,18.0,19.1,19.1,17.7
2021-12-03,18.4,18.7,19.1,18.4
2021-12-02,18.6,18.6,18.7,18.4
2021-12-01,18.6,18.5,18.7,18.2
2021-11-30,18.5,17.9,19.4,17.9
2021-11-29,17.8,17.9,18.0,17.2
2021-11-26,18.0,18.3,18.3,17.6
2021-11-25,18.3,18.4,18.5,18.1
2021-11-24,18.4,18.3,18.9,18.0
2021-11-23,18.3,18.9,18.9,16.3
2021-11-22,18.9,19.5,19.8,18.6
2021-11-19,19.2,18.8,20.0,18.6
2021-11-18,19.2,18.0,19.6,17.9
2021-11-17,18.1,18.3,18.3,18.0
2021-11-16,18.3,18.5,18.5,18.1
2021-11-15,18.4,17.8,18.6,17.8
2021-11-12,17.9,17.9,18.0,17.5
2021-11-11,18.0,17.8,18.0,17.7
2021-11-10,18.0,17.9,18.1,17.8
2021-11-09,17.9,17.8,18.3,17.5
