Date,Close,Open,High,Low
2022-02-18,29.5,29.4,29.6,29.2
2022-02-17,29.75,29.4,29.75,29.2
2022-02-16,29.25,29.8,29.85,29.1
2022-02-15,29.5,29.2,29.7,28.85
2022-02-14,29.2,30.5,30.8,29.2
2022-02-11,31.2,31.4,31.65,31.1
2022-02-10,31.5,31.3,31.65,30.95
2022-02-09,31.6,31.7,32.5,31.5
2022-02-08,31.4,31.15,31.8,30.9
2022-02-07,31.1,31.4,31.9,31.1
2022-01-28,30.9,30.9,31.3,30.75
2022-01-27,30.8,30.7,31.5,30.5
2022-01-26,30.7,30.4,31.5,30.1
2022-01-25,30.05,29.0,30.05,28.95
2022-01-24,29.0,29.2,29.8,28.7
2022-01-21,29.2,29.0,30.0,28.8
2022-01-20,28.9,28.7,29.45,28.4
2022-01-19,28.95,29.55,29.8,28.7
2022-01-18,29.55,29.25,29.9,28.5
2022-01-17,29.0,30.8,31.5,29.0
2022-01-14,30.6,30.3,31.0,30.2
2022-01-13,30.8,31.3,32.5,30.8
2022-01-12,30.95,29.2,31.2,29.0
2022-01-11,29.3,29.5,30.0,29.0
2022-01-10,29.6,30.1,30.6,29.6
2022-01-07,30.3,30.5,30.85,30.25
2022-01-06,30.5,30.1,31.05,29.95
2022-01-05,30.5,31.0,31.25,30.5
2022-01-04,31.1,31.15,31.75,31.0
2021-12-31,30.85,30.6,31.9,30.2
2021-12-30,30.6,30.6,31.15,30.4
2021-12-29,30.6,30.5,31.4,30.5
2021-12-28,30.5,28.8,30.75,28.65
2021-12-27,28.75,29.35,29.55,28.7
2021-12-24,28.7,27.45,28.7,27.2
2021-12-23,26.85,28.0,28.35,26.6
2021-12-22,27.9,29.7,29.7,27.8
2021-12-21,29.4,29.6,29.8,29.3
2021-12-20,29.6,29.5,30.0,29.1
2021-12-17,29.5,29.9,30.2,29.4
2021-12-16,29.7,30.4,30.5,29.5
2021-12-15,30.05,29.5,30.85,29.25
2021-12-14,29.6,30.0,30.5,29.6
2021-12-13,30.05,30.7,31.05,30.0
2021-12-10,30.7,30.6,31.4,30.55
2021-12-09,30.75,29.8,30.9,29.8
2021-12-08,30.3,30.2,31.2,29.65
2021-12-07,30.0,29.4,30.45,29.05
2021-12-06,29.1,30.8,31.2,28.85
2021-12-03,31.0,31.9,32.25,31.0
2021-12-02,31.5,32.4,32.5,31.5
2021-12-01,32.0,30.6,32.0,30.55
2021-11-30,30.5,32.3,32.3,30.5
2021-11-29,31.5,31.0,32.45,30.4
2021-11-26,31.35,32.8,33.2,31.35
2021-11-25,32.5,33.4,33.5,32.5
2021-11-24,33.5,31.9,33.95,31.85
2021-11-23,31.8,32.3,32.3,31.4
2021-11-22,32.3,30.8,32.3,30.8
2021-11-19,30.2,28.65,30.2,28.6
