Date,Close,Open,High,Low
2022-02-21,23.6,23.25,24.0,23.1
2022-02-18,23.6,24.1,24.5,23.15
2022-02-17,24.3,24.3,24.8,24.0
2022-02-16,24.3,24.7,24.75,23.95
2022-02-15,24.6,24.3,24.8,23.5
2022-02-14,24.1,25.5,25.95,24.1
2022-02-11,25.9,25.0,26.2,25.0
2022-02-10,25.0,24.6,25.5,24.55
2022-02-09,24.6,25.0,25.4,24.5
2022-02-08,24.9,24.5,25.4,24.3
2022-02-07,24.85,25.5,25.5,24.75
2022-01-28,25.0,24.4,25.0,24.05
2022-01-27,24.5,24.6,26.0,24.0
2022-01-26,24.6,23.8,24.6,23.7
2022-01-25,23.0,21.95,23.0,21.85
2022-01-24,21.5,22.2,22.2,21.5
2022-01-21,21.7,21.5,22.3,21.45
2022-01-20,21.3,21.2,21.55,20.85
2022-01-19,21.2,21.5,21.5,21.1
2022-01-18,21.15,21.3,21.7,21.0
2022-01-17,21.5,22.0,22.6,21.5
2022-01-14,21.8,21.9,22.1,21.6
2022-01-13,22.0,22.2,22.9,22.0
2022-01-12,21.9,21.25,22.25,20.95
2022-01-11,21.5,21.8,21.85,21.2
2022-01-10,21.6,22.5,22.5,21.6
2022-01-07,22.2,21.7,22.3,21.55
2022-01-06,21.7,22.05,22.05,21.6
2022-01-05,22.2,22.6,22.6,22.1
2022-01-04,22.45,22.8,22.9,22.35
2021-12-31,22.3,22.5,23.0,22.25
2021-12-30,22.2,22.2,22.55,22.15
2021-12-29,22.25,22.0,22.6,21.8
2021-12-28,21.7,21.6,21.8,21.3
2021-12-27,21.55,21.7,22.15,21.5
2021-12-24,21.7,20.65,21.8,20.65
2021-12-23,20.65,20.95,21.15,20.45
2021-12-22,20.95,21.5,21.55,20.95
2021-12-21,21.3,21.6,21.6,21.3
2021-12-20,21.6,21.8,21.9,21.5
2021-12-17,21.8,22.1,22.15,21.8
2021-12-16,22.2,22.5,22.75,22.15
2021-12-15,22.5,22.7,22.8,22.3
2021-12-14,22.6,22.3,22.8,22.0
2021-12-13,21.85,21.5,22.1,21.45
2021-12-10,21.35,21.4,21.8,21.2
2021-12-09,21.2,20.95,21.35,20.95
2021-12-08,21.15,21.1,21.5,20.9
2021-12-07,20.95,20.6,21.0,20.45
2021-12-06,20.3,21.35,21.65,20.2
2021-12-03,21.55,22.55,22.7,21.55
2021-12-02,22.4,22.9,22.9,22.4
2021-12-01,22.75,22.4,22.8,22.35
2021-11-30,22.4,23.4,23.4,22.35
2021-11-29,23.05,23.05,23.6,22.75
2021-11-26,23.9,24.5,24.55,23.8
2021-11-25,24.45,25.05,25.1,23.95
2021-11-24,24.5,23.1,24.5,22.9
2021-11-23,23.05,23.8,23.8,23.0
2021-11-22,23.45,23.2,24.1,23.15
2021-11-19,22.7,22.65,23.4,22.15
2021-11-18,22.6,22.8,23.0,22.55
2021-11-17,23.0,23.25,23.35,22.9
2021-11-16,23.1,22.7,23.7,22.5
2021-11-15,22.8,23.4,23.4,22.75
2021-11-12,22.9,22.3,23.05,22.25
2021-11-11,22.45,23.1,23.2,22.2
2021-11-10,23.1,23.7,23.7,23.0
2021-11-09,23.5,23.8,23.95,23.35
2021-11-08,23.4,23.4,23.8,23.0
2021-11-05,23.05,23.0,23.4,22.55
2021-11-04,23.0,23.2,23.8,22.7
2021-11-03,22.85,21.6,22.85,21.5
2021-11-02,21.4,21.0,21.5,21.0
2021-11-01,21.15,21.4,21.75,21.1
2021-10-29,20.8,21.1,21.5,20.8
2021-10-28,21.1,21.3,21.3,21.0
2021-10-27,21.0,21.1,21.15,20.85
2021-10-26,20.8,20.65,21.4,20.6
2021-10-25,20.65,20.85,20.95,20.65
2021-10-22,20.85,21.1,21.15,20.8
2021-10-21,21.0,21.2,21.45,21.0
2021-10-20,21.15,21.1,21.3,20.9
2021-10-19,21.3,21.45,21.6,21.2
2021-10-18,21.6,22.0,22.25,21.5
2021-10-15,22.0,21.65,22.35,21.6
2021-10-14,21.65,21.85,21.85,21.65
2021-10-13,21.8,21.75,21.9,21.5
2021-10-12,21.75,21.9,22.15,21.7
2021-10-11,21.75,21.1,21.75,21.1
2021-10-08,21.0,21.0,21.2,20.9
2021-10-07,21.0,21.05,21.3,20.95
2021-10-06,21.2,21.2,21.4,21.05
2021-10-05,21.0,20.6,21.15,20.55
2021-10-04,20.55,20.5,21.35,20.15
2021-10-01,20.9,21.6,21.6,20.9
2021-09-30,21.65,21.75,21.85,21.65
2021-09-29,21.7,21.9,21.95,21.6
2021-09-28,22.1,22.0,22.2,21.5
2021-09-27,22.05,22.8,22.8,22.0
