Date,Close,Open,High,Low
2022-02-18,30.3,30.5,30.9,30.3
2022-02-17,30.5,30.7,31.0,30.5
2022-02-16,30.7,30.3,30.8,30.3
2022-02-15,30.6,30.3,31.0,30.3
2022-02-14,30.6,30.7,31.0,30.5
2022-02-11,30.8,31.0,31.2,30.5
2022-02-10,30.8,31.3,31.3,30.6
2022-02-09,31.3,30.6,31.4,30.5
2022-02-08,30.9,31.0,31.4,30.6
2022-02-07,31.0,32.5,32.5,31.0
2022-01-28,32.0,31.5,32.2,31.5
2022-01-27,31.5,31.0,33.0,30.1
2022-01-26,30.0,32.1,34.9,30.0
2022-01-25,31.9,30.0,31.9,30.0
2022-01-24,29.5,32.2,32.2,29.5
2022-01-21,32.0,30.0,33.0,30.0
2022-01-20,30.0,29.5,31.6,29.4
2022-01-19,29.5,30.0,30.1,29.1
2022-01-18,31.0,32.5,32.5,30.6
2022-01-17,33.9,34.6,34.7,32.0
2022-01-14,39.5,39.6,40.0,39.3
2022-01-13,39.6,39.5,41.5,39.1
2022-01-12,39.0,38.7,39.5,38.6
2022-01-11,39.5,39.0,39.7,38.7
2022-01-10,38.2,39.0,41.0,38.2
2022-01-07,39.0,39.5,39.5,37.9
2022-01-06,39.6,36.3,39.9,34.7
2022-01-05,36.3,32.8,36.3,32.8
2022-01-04,33.0,31.9,33.9,31.8
2021-12-31,31.9,29.7,32.0,29.6
2021-12-30,29.6,30.0,30.0,29.0
2021-12-29,30.0,30.6,30.9,29.9
2021-12-28,30.6,29.0,30.6,29.0
2021-12-27,29.0,29.5,29.5,28.9
2021-12-24,29.2,28.6,30.3,28.5
2021-12-23,28.6,28.5,29.1,28.5
2021-12-22,28.7,28.5,29.0,28.5
2021-12-21,28.6,28.6,29.0,28.3
2021-12-20,28.6,28.5,29.0,28.5
2021-12-17,28.6,28.4,29.1,28.4
2021-12-16,28.4,28.2,29.0,28.2
2021-12-15,28.3,28.4,29.0,28.3
2021-12-14,28.3,28.4,28.8,28.2
2021-12-13,28.5,28.3,29.0,28.2
2021-12-10,28.2,28.3,28.8,28.2
2021-12-09,28.8,29.0,29.1,28.7
2021-12-08,29.0,28.8,29.0,28.5
2021-12-07,28.8,28.3,28.8,28.3
2021-12-06,28.3,28.0,28.6,28.0
2021-12-03,29.0,29.6,29.6,29.0
2021-12-02,29.6,29.5,30.0,28.9
2021-12-01,29.5,29.2,29.6,29.2
2021-11-30,29.9,29.1,29.9,28.9
2021-11-29,29.1,29.3,29.6,28.7
2021-11-26,29.6,32.0,32.0,29.4
2021-11-25,30.7,32.7,32.7,30.6
2021-11-24,31.4,30.0,32.0,29.5
2021-11-23,29.8,31.7,31.7,29.7
2021-11-22,30.7,29.5,31.0,29.4
2021-11-19,29.4,29.1,30.4,29.1
