Date,Close,Open,High,Low
2022-02-18,22.3,22.45,22.55,22.3
2022-02-17,22.5,22.5,22.85,22.5
2022-02-16,22.6,22.65,22.85,22.45
2022-02-15,22.55,22.1,22.8,22.05
2022-02-14,22.0,23.0,23.3,22.0
2022-02-11,23.6,23.5,23.7,23.4
2022-02-10,23.6,23.85,24.05,23.6
2022-02-09,24.1,23.2,24.2,22.95
2022-02-08,23.2,22.9,23.25,22.8
2022-02-07,23.1,22.8,23.2,22.5
2022-01-28,22.5,21.9,22.5,21.9
2022-01-27,21.9,22.3,22.9,21.9
2022-01-26,22.2,21.6,22.25,21.5
2022-01-25,21.4,20.65,21.4,20.5
2022-01-24,20.6,20.6,21.2,20.55
2022-01-21,20.6,20.95,21.3,20.6
2022-01-20,20.5,19.8,20.6,19.55
2022-01-19,19.35,21.0,21.3,19.35
2022-01-18,20.6,21.4,21.9,20.6
2022-01-17,22.0,22.45,22.55,21.55
2022-01-14,22.5,21.6,22.5,21.6
2022-01-13,22.25,22.2,22.9,21.95
2022-01-12,22.2,21.1,22.2,20.8
2022-01-11,21.05,21.5,21.7,21.05
2022-01-10,21.3,22.2,22.45,21.3
2022-01-07,22.1,22.45,22.5,21.95
2022-01-06,22.5,22.0,22.5,21.7
2022-01-05,22.0,22.6,22.65,22.0
2022-01-04,22.5,22.5,22.8,22.35
2021-12-31,22.3,21.6,22.3,21.55
2021-12-30,21.4,21.6,21.65,21.4
2021-12-29,21.5,21.75,21.85,21.5
2021-12-28,21.5,21.6,21.75,21.4
2021-12-27,21.5,22.0,22.35,21.5
2021-12-24,21.5,20.2,21.5,20.2
2021-12-23,20.1,20.8,20.95,20.0
2021-12-22,20.8,21.55,21.65,20.8
2021-12-21,21.5,21.85,22.0,21.5
2021-12-20,21.85,22.1,22.35,21.85
2021-12-17,22.2,22.3,22.3,22.05
2021-12-16,22.15,22.6,22.6,22.15
2021-12-15,22.3,22.35,22.55,22.2
2021-12-14,22.2,22.65,22.75,22.2
2021-12-13,22.6,22.9,23.0,22.6
2021-12-10,22.95,23.0,23.15,22.7
2021-12-09,22.95,22.8,23.0,22.65
2021-12-08,22.9,22.3,22.9,22.05
2021-12-07,22.45,22.1,22.5,22.0
2021-12-06,22.05,22.9,23.1,21.5
2021-12-03,23.0,23.55,23.65,23.0
2021-12-02,23.55,23.75,23.8,23.45
2021-12-01,23.55,23.5,23.8,23.3
2021-11-30,23.5,24.5,24.55,23.5
2021-11-29,24.1,24.4,24.7,24.1
2021-11-26,24.95,25.0,25.4,24.7
2021-11-25,24.95,25.4,25.4,24.85
2021-11-24,24.95,24.0,25.0,23.75
2021-11-23,23.8,24.5,24.5,23.6
2021-11-22,24.1,23.55,24.65,23.45
2021-11-19,23.25,23.2,23.7,23.05
