Date,Close,Open,High,Low
2022-02-21,51.6,51.6,51.7,50.8
2022-02-18,51.6,51.7,52.0,51.5
2022-02-17,52.2,51.6,52.5,51.6
2022-02-16,51.6,52.2,52.2,51.5
2022-02-15,51.8,51.6,52.1,51.3
2022-02-14,51.5,53.2,53.2,51.5
2022-02-11,53.7,53.5,53.8,53.0
2022-02-10,53.6,53.6,54.2,53.1
2022-02-09,53.6,54.0,54.9,53.6
2022-02-08,53.8,52.8,54.3,52.8
2022-02-07,52.8,53.7,53.8,52.8
2022-01-28,52.8,51.9,53.0,51.6
2022-01-27,51.9,52.0,52.7,51.5
2022-01-26,52.4,52.4,53.3,52.0
2022-01-25,51.9,51.2,52.1,51.0
2022-01-24,50.3,49.95,51.4,49.8
2022-01-21,49.8,49.0,50.8,48.9
2022-01-20,48.85,48.65,49.4,48.6
2022-01-19,48.85,49.0,49.4,48.8
2022-01-18,48.75,48.6,49.45,48.5
2022-01-17,48.6,49.7,50.5,48.6
2022-01-14,49.75,50.0,50.4,49.5
2022-01-13,50.5,50.9,51.8,50.2
2022-01-12,50.4,48.45,50.4,48.4
2022-01-11,48.45,48.9,49.1,48.4
2022-01-10,48.65,49.5,49.6,48.65
2022-01-07,49.45,49.9,50.1,49.4
2022-01-06,49.9,50.2,50.4,49.6
2022-01-05,50.5,50.9,51.2,50.3
2022-01-04,50.9,50.5,51.2,50.3
2021-12-31,50.0,49.5,50.5,49.45
2021-12-30,49.3,49.2,49.75,49.0
2021-12-29,49.1,49.15,49.65,49.0
2021-12-28,49.15,49.25,49.35,48.7
2021-12-27,48.85,49.4,49.4,48.5
2021-12-24,48.9,47.45,49.15,47.45
2021-12-23,47.35,48.85,48.85,47.3
2021-12-22,48.9,49.3,49.5,48.3
2021-12-21,49.25,49.5,49.7,49.2
2021-12-20,49.5,49.85,50.0,49.35
2021-12-17,49.85,50.0,50.1,49.8
2021-12-16,49.85,50.5,50.5,49.85
2021-12-15,50.2,50.3,50.8,49.95
2021-12-14,50.1,50.0,50.8,49.85
2021-12-13,50.0,50.3,50.4,49.95
2021-12-10,50.2,50.5,50.9,50.1
2021-12-09,50.4,50.0,50.4,49.85
2021-12-08,50.0,50.2,50.8,49.9
2021-12-07,50.0,49.6,50.3,49.35
2021-12-06,49.0,50.3,51.0,48.65
2021-12-03,50.2,52.0,52.2,50.2
2021-12-02,51.7,52.4,52.6,51.7
2021-12-01,52.4,51.6,52.4,51.5
2021-11-30,51.8,53.1,53.1,51.5
2021-11-29,52.3,53.0,53.4,52.1
2021-11-26,54.0,55.1,55.5,53.9
2021-11-25,54.9,56.0,56.0,54.7
2021-11-24,55.5,52.6,55.7,52.3
2021-11-23,52.6,53.4,53.5,52.4
2021-11-22,53.1,52.3,54.8,52.3
2021-11-19,52.3,51.8,53.4,51.2
2021-11-18,51.5,52.0,52.2,51.4
2021-11-17,52.2,52.0,52.4,51.7
2021-11-16,52.0,52.0,52.9,51.6
2021-11-15,52.0,52.8,53.0,51.9
2021-11-12,52.5,51.4,52.7,51.1
2021-11-11,51.5,51.7,52.4,50.7
2021-11-10,51.7,52.6,52.7,51.6
2021-11-09,52.3,53.0,53.3,52.3
2021-11-08,52.6,52.8,53.3,52.3
2021-11-05,53.0,53.5,53.5,52.7
2021-11-04,53.3,53.7,54.2,52.8
2021-11-03,53.7,52.3,54.2,52.0
2021-11-02,51.6,51.8,51.8,51.5
2021-11-01,51.6,51.7,52.5,51.5
2021-10-29,51.6,51.9,52.0,51.3
2021-10-28,51.8,52.0,52.1,51.5
2021-10-27,51.5,51.2,51.8,50.9
2021-10-26,51.0,50.4,51.0,49.95
2021-10-25,50.9,52.1,52.1,50.8
2021-10-22,52.3,52.9,53.0,52.2
2021-10-21,52.9,54.0,54.0,52.9
2021-10-20,53.2,52.8,53.9,52.5
2021-10-19,52.7,52.9,53.0,52.0
2021-10-18,52.9,53.2,53.6,52.7
2021-10-15,52.6,52.9,52.9,52.3
2021-10-14,52.5,52.5,53.0,52.2
2021-10-13,52.4,53.0,53.2,52.3
2021-10-12,53.0,53.4,53.4,52.6
2021-10-11,53.0,51.0,53.0,51.0
2021-10-08,50.7,50.1,50.9,50.0
2021-10-07,50.0,50.6,50.8,50.0
2021-10-06,50.3,49.45,50.5,49.2
2021-10-05,49.1,48.6,49.2,48.6
2021-10-04,48.35,48.8,48.95,48.3
2021-10-01,49.0,49.6,49.8,48.9
2021-09-30,49.6,49.7,50.4,49.6
2021-09-29,49.4,49.2,49.75,48.9
2021-09-28,49.8,49.3,49.85,48.8
2021-09-27,49.5,50.7,51.1,49.5
