Date,Close,Open,High,Low
2022-02-18,40.8,40.5,41.2,40.5
2022-02-17,41.15,40.4,41.15,40.3
2022-02-16,40.4,40.95,41.1,40.35
2022-02-15,40.75,41.0,41.05,40.2
2022-02-14,40.0,42.0,42.85,40.0
2022-02-11,42.85,41.0,42.95,40.8
2022-02-10,41.2,41.8,41.8,40.8
2022-02-09,41.5,41.9,42.35,41.4
2022-02-08,42.0,41.85,42.4,41.3
2022-02-07,41.7,42.3,42.6,41.3
2022-01-28,41.95,40.15,42.3,40.0
2022-01-27,40.2,39.4,40.5,39.2
2022-01-26,39.2,40.0,40.55,39.2
2022-01-25,39.75,37.7,40.0,37.7
2022-01-24,37.75,40.0,40.5,37.2
2022-01-21,40.0,39.65,41.0,39.65
2022-01-20,39.6,39.3,40.35,39.25
2022-01-19,39.3,38.6,40.3,38.6
2022-01-18,38.9,39.6,40.25,38.75
2022-01-17,40.2,41.6,42.2,40.2
2022-01-14,41.9,41.7,42.55,41.6
2022-01-13,42.15,43.3,44.0,42.1
2022-01-12,43.0,40.2,43.0,40.0
2022-01-11,40.2,40.4,41.5,40.0
2022-01-10,40.45,41.0,41.95,40.45
2022-01-07,41.0,41.85,42.4,41.0
2022-01-06,42.0,41.3,43.0,41.3
2022-01-05,42.0,42.5,42.75,41.9
2022-01-04,42.75,41.5,43.25,41.3
2021-12-31,41.05,41.0,42.35,41.0
2021-12-30,40.75,41.15,41.4,40.55
2021-12-29,41.35,42.05,42.45,41.15
2021-12-28,42.05,40.5,42.2,40.0
2021-12-27,40.75,39.6,41.6,39.2
2021-12-24,39.25,36.6,39.25,36.45
2021-12-23,36.7,38.0,38.6,35.7
2021-12-22,38.0,38.5,39.5,37.9
2021-12-21,38.8,39.5,39.6,38.5
2021-12-20,39.8,39.0,40.0,38.7
2021-12-17,51.3,51.4,51.5,50.4
2021-12-16,51.2,52.7,52.7,51.2
2021-12-15,52.0,50.6,52.7,49.9
2021-12-14,50.5,50.0,51.3,49.5
2021-12-13,50.5,52.0,52.4,50.0
2021-12-10,52.0,51.2,53.5,50.8
2021-12-09,51.2,51.1,52.0,50.4
2021-12-08,51.1,48.1,51.1,48.1
2021-12-07,47.8,47.4,48.5,46.55
2021-12-06,47.0,46.6,47.8,45.0
2021-12-03,47.0,48.9,49.0,47.0
2021-12-02,48.4,48.05,49.9,48.05
2021-12-01,48.25,45.0,48.25,44.8
2021-11-30,45.1,47.9,47.9,44.5
2021-11-29,47.2,46.5,48.0,46.5
2021-11-26,47.5,49.1,49.2,47.5
2021-11-25,49.2,49.5,49.5,48.15
2021-11-24,49.1,48.7,49.85,47.7
2021-11-23,48.7,47.5,48.7,46.5
2021-11-22,46.5,44.0,46.5,43.5
2021-11-19,43.5,42.9,44.5,42.85
