Date,Close,Open,High,Low
2022-02-21,46.85,46.2,46.85,46.15
2022-02-18,46.85,46.6,47.4,46.4
2022-02-17,46.8,46.0,46.8,45.6
2022-02-16,45.6,46.2,46.2,45.4
2022-02-15,46.2,46.0,46.7,45.0
2022-02-14,45.9,46.8,47.45,45.9
2022-02-11,47.7,47.3,48.3,47.25
2022-02-10,47.6,47.6,48.1,47.2
2022-02-09,47.9,48.45,49.0,47.7
2022-02-08,48.0,46.6,48.0,46.6
2022-02-07,47.35,47.9,48.5,47.35
2022-01-28,47.55,47.3,48.9,46.7
2022-01-27,46.8,47.15,48.0,46.3
2022-01-26,47.1,46.0,48.0,45.8
2022-01-25,45.8,44.1,45.8,44.0
2022-01-24,44.1,44.9,45.95,44.0
2022-01-21,45.1,43.5,46.0,43.45
2022-01-20,44.0,43.6,44.5,42.1
2022-01-19,43.6,43.2,44.6,43.2
2022-01-18,43.4,43.5,44.9,42.1
2022-01-17,44.0,45.9,46.7,43.5
2022-01-14,45.9,45.7,46.5,45.0
2022-01-13,46.6,47.4,48.5,46.5
2022-01-12,46.95,44.7,47.3,42.7
2022-01-11,44.7,45.5,46.0,44.3
2022-01-10,45.5,45.9,46.3,44.5
2022-01-07,46.2,46.45,47.0,46.15
2022-01-06,46.7,46.8,48.4,46.3
2022-01-05,47.45,47.65,48.85,46.85
2022-01-04,47.65,47.95,48.05,47.25
2021-12-31,47.3,44.3,47.3,44.3
2021-12-30,44.25,44.1,45.0,44.1
2021-12-29,44.1,43.3,45.0,43.25
2021-12-28,42.9,42.9,44.0,42.3
2021-12-27,43.2,44.0,44.0,41.5
2021-12-24,43.65,41.7,44.0,41.6
2021-12-23,42.2,42.8,42.8,40.75
2021-12-22,43.5,44.1,44.2,41.6
2021-12-21,44.1,45.45,45.5,44.1
2021-12-20,45.5,43.85,45.5,43.4
2021-12-17,43.85,44.45,44.6,43.6
2021-12-16,44.0,44.0,44.9,43.9
2021-12-15,43.7,43.1,43.9,42.55
2021-12-14,42.8,42.75,43.5,42.3
2021-12-13,43.0,43.5,43.5,42.25
2021-12-10,43.0,43.15,43.55,42.75
2021-12-09,42.5,42.0,42.5,41.8
2021-12-08,41.8,41.0,42.95,40.75
2021-12-07,40.95,40.8,41.5,40.5
2021-12-06,40.6,42.8,42.8,39.45
2021-12-03,42.4,42.6,44.4,42.4
2021-12-02,42.9,43.4,44.1,42.7
2021-12-01,43.0,42.3,43.0,41.35
2021-11-30,42.2,44.3,44.65,40.6
2021-11-29,43.65,44.2,44.6,43.0
2021-11-26,45.0,44.75,46.3,44.1
2021-11-25,44.65,45.3,45.7,44.0
2021-11-24,44.8,41.7,44.8,41.5
2021-11-23,41.9,42.1,42.2,40.6
2021-11-22,41.7,39.9,41.7,39.6
2021-11-19,39.0,37.8,39.5,37.65
2021-11-18,37.8,38.35,38.35,37.65
2021-11-17,38.35,38.0,38.5,37.8
2021-11-16,38.05,38.2,38.8,37.85
2021-11-15,38.35,39.0,39.0,38.15
2021-11-12,38.3,37.9,38.35,37.0
2021-11-11,37.8,37.9,38.0,36.7
2021-11-10,37.9,38.0,38.1,37.65
2021-11-09,38.0,37.7,38.3,37.6
2021-11-08,37.65,38.0,39.0,37.4
2021-11-05,38.0,38.4,38.45,37.5
2021-11-04,38.3,38.9,39.05,38.15
2021-11-03,38.7,37.55,39.0,37.5
2021-11-02,37.45,36.55,37.45,36.15
2021-11-01,36.6,37.0,37.1,36.55
2021-10-29,37.0,37.15,37.2,36.6
2021-10-28,37.2,37.1,37.5,36.5
2021-10-27,37.1,37.0,37.15,36.3
2021-10-26,36.8,36.0,36.8,35.7
2021-10-25,36.15,36.9,36.9,36.0
2021-10-22,36.9,36.95,37.25,36.45
2021-10-21,36.9,36.7,37.3,36.4
2021-10-20,36.6,36.2,37.0,35.85
2021-10-19,36.4,36.65,36.65,35.9
2021-10-18,36.55,36.7,36.9,36.0
2021-10-15,36.7,36.4,36.9,36.0
2021-10-14,36.4,36.4,37.0,36.15
2021-10-13,36.2,36.2,36.3,35.5
2021-10-12,36.1,36.2,36.5,35.95
2021-10-11,35.65,34.9,35.7,34.9
2021-10-08,34.6,34.6,34.65,34.0
2021-10-07,34.35,34.4,34.75,33.8
2021-10-06,34.5,34.45,34.8,34.3
2021-10-05,34.45,33.4,34.45,33.4
2021-10-04,33.25,34.4,34.9,33.25
2021-10-01,34.3,35.35,35.55,34.3
2021-09-30,35.35,35.9,36.45,35.2
2021-09-29,35.95,36.45,36.55,35.55
2021-09-28,36.5,36.6,37.0,36.1
2021-09-27,36.5,38.3,38.45,36.5
