Date,Close,Open,High,Low
2022-02-21,35.9,35.8,36.15,35.4
2022-02-18,35.9,35.9,36.0,35.7
2022-02-17,36.3,35.65,36.3,35.55
2022-02-16,35.65,36.1,36.4,35.65
2022-02-15,35.95,35.2,36.2,35.2
2022-02-14,35.0,36.2,36.45,35.0
2022-02-11,36.6,36.8,37.2,36.5
2022-02-10,36.7,37.05,37.25,36.15
2022-02-09,37.1,37.5,38.0,37.1
2022-02-08,37.3,36.15,37.9,36.1
2022-02-07,36.3,37.0,37.2,36.3
2022-01-28,36.65,35.65,36.7,35.5
2022-01-27,35.45,35.9,36.65,35.4
2022-01-26,35.9,34.9,36.35,34.8
2022-01-25,34.9,33.4,34.9,33.1
2022-01-24,33.45,34.05,34.35,33.0
2022-01-21,34.3,34.0,34.75,33.55
2022-01-20,33.95,33.6,33.95,33.2
2022-01-19,33.5,33.3,33.95,33.3
2022-01-18,33.25,33.05,33.9,33.0
2022-01-17,33.05,34.85,35.1,33.05
2022-01-14,34.85,35.25,35.4,34.7
2022-01-13,35.25,35.7,36.25,34.95
2022-01-12,35.4,34.2,35.45,33.85
2022-01-11,34.3,34.4,34.8,34.0
2022-01-10,34.4,34.5,35.1,34.15
2022-01-07,34.6,35.1,35.15,34.6
2022-01-06,35.15,35.3,35.5,34.9
2022-01-05,35.5,36.05,36.15,35.5
2022-01-04,36.05,36.15,36.35,36.0
2021-12-31,35.8,35.5,36.2,35.45
2021-12-30,35.4,34.9,35.55,34.85
2021-12-29,34.75,34.7,35.2,34.65
2021-12-28,34.55,34.5,34.55,34.1
2021-12-27,34.35,34.55,34.7,34.0
2021-12-24,34.25,32.7,34.35,32.5
2021-12-23,32.4,33.6,33.9,32.3
2021-12-22,33.6,34.2,34.4,33.6
2021-12-21,34.15,34.0,34.5,34.0
2021-12-20,34.15,34.3,34.95,33.8
2021-12-17,33.8,33.9,34.4,33.7
2021-12-16,33.7,35.0,35.0,33.5
2021-12-15,34.65,35.0,35.1,34.45
2021-12-14,35.0,35.4,35.8,35.0
2021-12-13,35.4,36.0,36.1,35.3
2021-12-10,35.8,35.75,36.2,35.55
2021-12-09,35.6,35.4,35.95,35.4
2021-12-08,35.75,35.7,36.4,35.0
2021-12-07,35.65,35.7,36.05,34.85
2021-12-06,35.5,35.75,36.05,34.0
2021-12-03,35.7,37.3,37.55,35.3
2021-12-02,37.0,37.9,37.95,37.0
2021-12-01,37.9,37.5,37.9,36.95
2021-11-30,37.7,38.8,38.9,37.3
2021-11-29,38.4,38.6,38.9,38.0
2021-11-26,39.2,38.4,39.5,38.2
2021-11-25,38.0,37.85,38.5,37.4
2021-11-24,37.3,36.25,37.6,35.9
2021-11-23,36.25,36.9,37.1,36.1
2021-11-22,36.7,36.2,37.65,35.9
2021-11-19,36.2,35.5,36.8,34.85
2021-11-18,35.4,36.0,36.2,35.4
2021-11-17,36.15,36.25,36.5,35.85
2021-11-16,36.15,36.15,37.0,35.9
2021-11-15,36.15,36.6,36.65,36.05
2021-11-12,36.75,36.5,37.0,35.95
2021-11-11,36.5,36.7,37.05,35.55
2021-11-10,36.7,37.1,37.2,36.6
2021-11-09,37.05,37.6,37.7,37.05
2021-11-08,37.55,38.2,38.2,37.5
2021-11-05,37.95,38.0,38.45,37.85
2021-11-04,38.0,38.55,38.55,37.9
2021-11-03,38.4,37.5,39.0,37.5
2021-11-02,37.55,37.4,37.7,37.35
2021-11-01,37.55,38.0,38.35,37.5
2021-10-29,38.05,38.7,39.0,37.9
2021-10-28,38.6,38.45,38.6,37.95
2021-10-27,37.95,37.5,38.15,37.05
2021-10-26,37.05,36.65,37.05,36.2
2021-10-25,37.0,37.1,37.1,36.7
2021-10-22,37.2,37.75,37.9,37.2
2021-10-21,37.55,38.3,38.5,37.55
2021-10-20,38.3,38.45,38.8,37.75
2021-10-19,38.5,38.55,38.65,38.15
2021-10-18,38.4,37.6,39.0,37.5
2021-10-15,37.5,36.95,37.6,36.85
2021-10-14,36.95,36.5,36.95,36.5
2021-10-13,36.85,36.6,36.9,36.3
2021-10-12,36.7,36.8,37.0,36.25
2021-10-11,36.8,35.8,36.8,35.5
2021-10-08,35.9,35.75,36.0,35.3
2021-10-07,35.65,35.2,35.9,34.9
2021-10-06,61.6,62.7,62.7,61.0
2021-10-05,62.6,62.9,63.0,62.4
2021-10-04,63.0,63.8,63.9,61.7
2021-10-01,63.9,65.6,65.7,63.7
2021-09-30,65.9,66.2,66.5,65.4
2021-09-29,66.0,66.6,66.6,65.6
2021-09-28,66.8,67.0,67.0,65.5
2021-09-27,67.0,66.9,68.3,66.8
